
* Step -1
RZ           1   15161
      95    7.5549950400E+001    2.7610366700E+001    5.1650860400E+001
      96    7.4945282200E+001    7.8372087000E+000    5.4500001900E+001
      97    7.8120504300E+001    1.1989739800E+001    5.4474224200E+001
      98    8.0801118100E+001    1.5346498800E+001    5.1876248900E+001
      99    7.9074023100E+001    1.5361764300E+001    5.4212595500E+001
     100    7.7902052900E+001    1.3273393000E+001    5.1806134100E+001
     101    8.0717443600E+001    6.5647187000E+000    2.8017754900E+001
     102    7.8402485294E+001    2.4958400074E+000    2.5882622018E+001
     103    8.0644747762E+001    9.5245855000E+000    2.5729437276E+001
     104    8.0322898717E+001    6.9462432954E+000    2.1975615198E+001
     105    7.6979083800E+001    6.3106367000E+000    2.3686593800E+001
     106    7.7457316700E+001    4.8084626000E+000    2.6393354100E+001
     107    7.8594926600E+001    7.8903360000E+000    2.7710040900E+001
     108    7.8314398705E+001    9.5982962871E+000    1.4983910186E+001
     109    8.0209006871E+001    1.1399186900E+001    1.7414945122E+001
     110    7.6849669800E+001    1.3646235700E+001    1.4417878400E+001
     111    7.8143394608E+001    1.5995331194E+001    1.1916454073E+001
     112    7.5218010100E+001    1.3636134400E+001    1.2392053300E+001
     113    7.6267700000E+001    1.1524305400E+001    1.5933264400E+001
     114    7.4429834900E+001    1.0532721022E+001    1.4055962531E+001
     115    8.0071923367E+001    1.6150910100E+001    1.4799276571E+001
     116    7.3776434300E+001   -2.3331844000E+000    5.0125877800E+001
     117    7.2975858000E+001   -5.2997518000E+000    4.9280396800E+001
     118    7.3217591900E+001   -5.4564077000E+000    4.6291221800E+001
     119    8.1053731600E+001    3.6263089800E+001    4.3144469700E+001
     120    7.7065688700E+001    3.4901117300E+001    4.6833473700E+001
     121    7.5347645300E+001    3.6888173900E+001    4.7420295700E+001
     122    7.5468115900E+001    3.8045525300E+001    4.4109609000E+001
     123    7.5844930200E+001   -5.3661276109E+000    3.2986117220E+001
     124    7.3626576900E+001   -5.4471922724E+000    3.4532935722E+001
     125    7.8283873801E+001    5.3184473973E+000    2.0584506099E+001
     126    7.5596717800E+001    2.6111455151E+000    2.5666644037E+001
     127    7.5569400400E+001    4.6254118965E+000    2.2086283583E+001
     128    7.2877005000E+001    4.2051854304E+000    2.3678453310E+001
     129    7.8757043100E+001    2.1778062200E+001    4.9634857400E+001
     130    7.6975786900E+001    1.7434716700E+001    5.4500000600E+001
     131    7.1081118100E+001    1.2039946000E+000    5.6042986100E+001
     132    6.8351270800E+001   -1.8267453000E+000    5.7480180600E+001
     133    7.5649747800E+001   -5.6862818000E+000    4.1904964500E+001
     134    7.0300083400E+001   -2.1056433000E+000    5.5197115700E+001
     135    8.1264144800E+001    5.0937661000E+000    3.7548246100E+001
     136    8.1418838500E+001    7.5394481000E+000    4.0499972300E+001
     137    8.1236116900E+001    9.0269351000E+000    4.3986558800E+001
     138    8.1047496300E+001    1.5166605000E+001    4.7585690700E+001
     139    8.0968382200E+001    1.8553582300E+001    4.9095289800E+001
     140    7.5658764600E+001   -5.6825126000E+000    3.9023113400E+001
     141    7.9038312400E+001    4.7078567000E+000    3.2636430200E+001
     142    8.0937456981E+001    6.9266638000E+000    3.1314646859E+001
     143    8.0399369536E+001    1.0316150800E+001    2.1047379429E+001
     144    7.9214213411E+001    7.7894102894E+000    1.7601232691E+001
     145    7.8077309300E+001    8.5332275000E+000    2.0100816100E+001
     146    7.6134082900E+001   -5.9359400000E-001    2.6000000000E+001
     147    7.2468136300E+001    2.2254356200E+001    5.4500000000E+001
     148    8.1110345455E+001    7.2879215000E+000    3.4613537203E+001
     149    8.1264144800E+001    8.5730977000E+000    3.7548236900E+001
     150    8.1225513700E+001    1.4684208400E+001    4.4188866100E+001
     151    8.0895514244E+001    9.7809964000E+000    3.0514336192E+001
     152    8.1110344959E+001    1.1913643600E+001    3.4613527744E+001
     153    8.1418838500E+001    1.2191860900E+001    4.0499958500E+001
     154    8.1264144900E+001    1.3212086800E+001    3.7548224900E+001
     155    8.1418838500E+001    1.6844267900E+001    4.0499944700E+001
     156    8.1230248200E+001    1.8331756300E+001    4.4098514100E+001
     157    7.8238589300E+001    2.0096632700E+001    4.8144504300E+001
     158    8.1114740500E+001    2.1085347700E+001    4.6302558400E+001
     159    7.8121009800E+001    3.8354514500E+001    4.1743718300E+001
     160    8.1292710600E+001    3.6153197000E+001    3.9783252900E+001
     161    7.9513089300E+001    3.8153507200E+001    3.9069519700E+001
     162    8.1324123500E+001    3.2872498100E+001    4.2307196000E+001
     163    8.1353065700E+001    3.1689425700E+001    3.9244880700E+001
     164    8.1155636700E+001    3.5344636600E+001    3.6643872200E+001
     165    7.9158715400E+001    3.6727195400E+001    3.3675002000E+001
     166    7.9911426700E+001    3.5186360500E+001    3.0380191400E+001
     167    7.9940073800E+001    3.3713597000E+001    2.6222313200E+001
     168    8.0070910137E+001    1.9551716200E+001    1.4779906598E+001
     169    8.0791189905E+001    1.3449017300E+001    2.8523724079E+001
     170    7.8642702700E+001    1.1343150800E+001    2.7375990800E+001
     171    8.0465709112E+001    1.3189788400E+001    2.2313162737E+001
     172    8.0303020635E+001    1.4159779800E+001    1.9208896040E+001
     173    8.0362900231E+001    1.6884471300E+001    2.0351468972E+001
     174    8.0638988451E+001    1.2823973200E+001    2.5619544082E+001
     175    8.0549908206E+001    1.6054916400E+001    2.3919829679E+001
     176    7.9548357479E+001    3.2661354942E+001    2.1952564345E+001
     177    7.8960736694E+001    3.1481424490E+001    1.8629915906E+001
     178    7.3038433600E+001   -5.6133777000E+000    4.3296055200E+001
     179    6.9456989600E+001    4.7387375000E+000    5.7371877600E+001
     180    6.3936152400E+001   -6.7335186000E+000    5.6979888400E+001
     181    6.5805035100E+001   -4.6354806000E+000    5.7481572300E+001
     182    6.6314694500E+001    5.6146320000E-001    5.7500000000E+001
     183    6.5797251400E+001   -6.8686108000E+000    5.2627491000E+001
     184    7.3348607000E+001    4.5717852000E+000    5.2118463300E+001
     185    7.0904068800E+001    6.6163717000E+000    5.4550530500E+001
     186    7.4216351700E+001    1.6162993000E+001    5.4500000000E+001
     187    6.3542051200E+001    2.7138495600E+001    2.0027408600E+000
     188    6.4910772800E+001    2.4032762300E+001    2.2674281000E+000
     189    6.4921849900E+001    2.1342459700E+001    2.2739336000E+000
     190    7.8166067202E+001    1.9098691200E+001    1.1568591497E+001
     191    7.7610343800E+001    1.6251502100E+001    1.7634110600E+001
     192    7.8566113075E+001    2.1858028990E+001    1.2061817848E+001
     193    7.9733046563E+001    2.7397697788E+001    1.5618720317E+001
     194    6.0322088200E+001   -6.2524609000E+000    5.7437116600E+001
     195    5.6837373200E+001   -6.1406479000E+000    5.6874228700E+001
     196    6.3939762111E+001    1.7092291389E+001    2.2722661687E+000
     197    7.5972261800E+001    1.6295975100E+001    1.3698344100E+001
     198    6.0876726600E+001    1.6542522700E+001    2.0027408600E+000
     199    6.2344288600E+001    1.8421946000E+001    4.3879632000E+000
     200    7.2166036100E+001    1.8307750800E+001    5.4500000000E+001
     201    6.2439632371E+001    3.4417793484E+001    2.4223298426E+000
     202    6.4311982587E+001    3.1097146577E+001    2.4110459342E+000
     203    6.1438426600E+001    3.1442238700E+001    4.1989918000E+000
     204    5.9823943900E+001    2.9292924400E+001    2.0027408600E+000
     205    5.8701903200E+001    3.2543345800E+001    2.0027408600E+000
     206    6.0673819292E+001    3.7027617394E+001    2.3925914127E+000
     207    5.7113770300E+001    3.4831830600E+001    2.0027408600E+000
     208    5.5427175615E+001    4.1845341827E+001    2.3974539605E+000
     209    6.2899987009E+001    1.3784346395E+001    2.8344071915E+000
     210    8.0678960492E+001    2.9350341700E+001    2.6382283253E+001
     211    8.0591417899E+001    2.6062586400E+001    2.4711881690E+001
