
* Step -1
RZ           1    3821
     292    3.5665915400E+001   -3.8520685300E+001    2.2358312100E+001
     293    2.7098259100E+001   -4.1434693900E+001    1.3982960100E+001
     294    2.4589843665E+001   -3.9191895557E+001    1.1150752641E+001
     295    2.9293794300E+001   -3.4281156000E+001    1.1217683100E+001
     296    2.7130190100E+001   -3.7448072700E+001    1.2297982900E+001
     297    3.0242654100E+001   -3.8250609600E+001    1.5057531700E+001
     298    2.8146549800E+001   -4.2480543200E+001    2.1090000200E+001
     299    2.7468804400E+001   -4.0696652600E+001    1.8013291100E+001
     300    2.4311793609E+001   -4.3922815900E+001    1.5526190736E+001
     301    2.4514872500E+001   -4.3377439000E+001    2.0394622600E+001
     302    2.4304499249E+001   -4.0098896358E+001    1.5362378115E+001
     303    4.3810380900E+001   -3.4059770300E+001    1.6197282900E+001
     304    4.2946839500E+001   -3.1678048600E+001    1.3579643900E+001
     305    4.6359251126E+001   -2.9419576900E+001    1.4582076744E+001
     306    4.6989856749E+001   -3.1748447300E+001    1.6314648282E+001
     307    4.7825212400E+001   -3.3031404900E+001    2.1087836900E+001
     308    4.3879116700E+001   -3.3219668500E+001    1.9381343000E+001
     309    3.8479398000E+001   -3.0655043000E+001    1.4198755800E+001
     310    4.2712969200E+001   -3.4460919700E+001    2.3439137000E+001
     311    4.5244773300E+001   -3.7438715900E+001    2.8521879600E+001
     312    4.5774800500E+001   -3.2974154500E+001    2.9657880100E+001
     313    4.0350884600E+001   -3.7220253500E+001    3.2205416000E+001
     314    3.3327321124E+001    3.7294368782E+001   -9.3293038047E+000
     315    2.6404468957E+001    4.3644179047E+001   -8.3441502163E+000
     316    2.7346369421E+001    3.7584024544E+001   -9.1590281189E+000
     317    2.6142234165E+001    4.2007144500E+001   -5.3958463855E+000
     318    2.5979188736E+001    4.2019646100E+001   -3.5322306969E+000
     319    3.3556408700E+001    4.2032565500E+001   -6.1568214000E+000
     320    2.8578856500E+001    3.9921783000E+001   -5.1579357000E+000
     321    2.4419802503E+001   -3.4524520250E+001    1.1636055356E+001
     322    3.8955574881E+001    3.7981149403E+001   -5.6686669925E+000
     323    3.6207167500E+001    4.0483018800E+001   -3.6022752000E+000
     324    4.0406511172E+001    4.0615997400E+001   -1.7729361897E+000
     325    3.5393831400E+001    4.6378189760E+001   -8.8741042197E-001
     326    3.6505551300E+001    4.3466065500E+001    4.1542380000E-001
     327    3.2326909400E+001    4.6522518076E+001    4.8578126586E-001
     328    3.2160938800E+001    4.2983813400E+001   -2.1532192000E+000
     329    2.8281420500E+001    4.1518668200E+001   -1.5410053000E+000
     330    2.7218634600E+001    4.2521158800E+001    4.9800000000E-005
     331    4.0865631800E+001    4.7150227460E+001    6.4580348940E+000
     332    4.5224850009E+001    4.4856121700E+001    1.1465337860E+001
     333    4.3716921600E+001    4.6191734700E+001    1.2532986100E+001
     334    4.1935246300E+001    4.7746904924E+001    1.2135039635E+001
     335    4.3200394100E+001    4.4991263000E+001    1.1090206400E+001
     336    4.2017710000E+001    4.5221668300E+001    8.3172375000E+000
     337    4.3387370232E+001    4.5208208938E+001    6.4175209117E+000
     338    4.4295112440E+001    4.4224293000E+001    8.9109054855E+000
     339    4.2366902096E+001    4.3601375000E+001    3.6131923650E+000
     340    3.8629874400E+001    4.3271602100E+001    4.9826919000E+000
     341    3.7003282500E+001    4.6994524129E+001    4.9766172078E+000
     342    4.2706367200E+001    4.7914625099E+001    1.3730789916E+001
     343    4.2570163700E+001    4.8225219703E+001    1.6685899074E+001
     344    4.7322052600E+001    4.7559820000E+001    2.0031652200E+001
     345    4.4669865200E+001    4.8362151600E+001    1.9606504600E+001
     346    4.7351054729E+001    4.5150389700E+001    1.7307035844E+001
     347    4.5080506900E+001    4.6414451200E+001    1.7986024300E+001
     348    4.4084453200E+001    4.5613779000E+001    1.5290261900E+001
     349    2.7117723800E+001    4.3920482400E+001    2.6098460000E+000
     350    2.5318017238E+001    4.1632532400E+001    4.0249934121E+000
     351    2.5409083236E+001    4.2280646900E+001    2.9841057119E+000
     352    2.6705783500E+001    4.2400476100E+001    4.4570737000E+000
     353    2.6010526500E+001    4.1586887100E+001    5.7137593000E+000
     354    2.5975092300E+001    4.1314571500E+001    7.6316720000E+000
     355    2.5695435800E+001    4.1058729500E+001    8.5175901000E+000
     356    2.5032368737E+001    4.3311599800E+001    7.2899745295E+000
     357    2.7213971200E+001    4.4374848200E+001    5.4860993000E+000
     358    3.0917730900E+001    4.3860154800E+001    4.6656330000E+000
     359    3.0217642600E+001    4.6897686538E+001    4.0552694173E+000
