
* Step 84
RZ           1    8771
     110    8.1063322371E+001   -2.1237587805E+001   -3.4056907242E+001
     111    8.0866078139E+001   -3.0969826341E+001   -3.0305214271E+001
     112    7.9742986290E+001   -3.3886022139E+001   -2.6115547337E+001
     113    8.0124408527E+001   -2.5934474708E+001   -5.3358641287E+001
     114    7.9842732841E+001   -3.0279240435E+001   -5.2643939561E+001
     115    8.0971508620E+001   -3.1913545319E+001   -4.8725343558E+001
     116    8.1255186505E+001   -2.9466456189E+001   -4.3297961399E+001
     117    8.1090714276E+001   -3.2102796197E+001   -3.4578240466E+001
     118    8.0611151290E+001   -3.7395254446E+001   -3.9418648465E+001
     119    8.1201293105E+001   -3.4721102418E+001   -4.4313576188E+001
     120    7.7902874382E+001   -3.3371300891E+001   -4.2573929570E+001
     121    8.1329722999E+001   -3.2110100625E+001   -3.9124614049E+001
     122    7.9739199541E+001   -3.6567463449E+001   -3.4170130403E+001
     123    7.6205449243E+001   -3.6384506359E+001   -3.1767636976E+001
     124    7.9975610616E+001   -3.5082447796E+001   -3.0294796238E+001
     125    7.6279970852E+001   -2.1465427742E+001   -5.4494778821E+001
     126    7.9537173697E+001   -3.2651402615E+001   -2.1963598816E+001
     127    8.0592640827E+001   -2.9483668338E+001   -2.5103886234E+001
     128    8.0757722658E+001   -2.6410372116E+001   -2.8243883266E+001
     129    8.1092452305E+001   -1.1909683156E+001   -3.4610779522E+001
     130    8.1035879055E+001   -1.7122538121E+001   -3.3534701208E+001
     131    8.0698451998E+001   -6.5599201161E+000   -2.8017449258E+001
     132    8.0877231605E+001   -9.7898611496E+000   -3.0516688193E+001
     133    8.0924607520E+001   -1.4115748065E+001   -3.1417983688E+001
     134    6.5611269852E+001   -1.0524021472E+001   -5.6755767391E+001
     135    7.7193734047E+001   -3.1593216543E+001   -2.5761354521E+001
     136    8.0356420092E+001   -9.9803253419E+000   -2.0609531107E+001
     137    7.7067830076E+001   -4.9236386871E+000   -2.7520330189E+001
     138    7.9627386430E+001   -5.3590067621E+000   -2.2694804040E+001
     139    7.5980440113E+001   -6.0868828330E+000   -1.8745385777E+001
     140    7.8864905209E+001   -8.2583064953E+000   -1.6629645112E+001
     141    3.7372771552E+001    4.7310688797E+001   -5.0817809254E+001
     142    4.1287405039E+001    4.6655513656E+001   -4.9048778188E+001
     143    7.8880853885E+001   -3.6275633172E+001   -4.8222251884E+001
     144    7.6475603687E+001   -3.3769161408E+001   -5.1352604003E+001
     145    5.5962833522E+001    1.8302070379E+000   -5.7499999160E+001
     146    6.5875244810E+001    7.2804220160E+000   -4.4611321014E+001
     147    6.4387319179E+001    4.6801948845E+000   -4.5803741142E+001
     148    6.1347881260E+001    8.4077596122E+000   -4.4539153559E+001
     149    5.8767053170E+001    7.6380517528E+000   -5.2858908828E+001
     150    5.4998363772E+001    5.7526135849E+000   -5.3109134394E+001
     151    7.5359609849E+001   -3.7157867592E+001   -4.6784448171E+001
     152    7.6362913276E+001   -3.8021002644E+001   -3.7431651359E+001
     153    7.6167165163E+001   -3.8189028107E+001   -4.3142624732E+001
     154    7.5971745368E+001   -3.5199740152E+001   -2.7666993643E+001
     155    4.0919014258E+001    4.5769691348E+001   -5.3433432652E+001
     156    4.2253815007E+001    4.2096592819E+001   -5.0930020536E+001
     157    7.8881412517E+001   -2.0028572449E+001   -1.2072926549E+001
     158    8.0014142906E+001   -1.3400744906E+001   -1.5034508100E+001
     159    7.9073957536E+001   -1.6084316249E+001   -1.2503320875E+001
     160    7.5661747294E+001   -3.3642719630E+001   -2.2279878705E+001
     161    4.2469909988E+001    4.2614823238E+001   -4.6731121369E+001
     162    4.1672938223E+001    4.6625778838E+001   -4.4868934130E+001
     163    5.9508013143E+001    8.0545491158E+000   -4.8498884687E+001
     164    7.5778892134E+001   -1.1848705016E+001   -1.3229969521E+001
     165    3.4814017942E+001    4.6631787178E+001   -5.3428525739E+001
     166    4.2120137106E+001    4.6613009155E+001   -4.0475905557E+001
     167    6.2204145614E+001   -1.1893118723E+001   -5.6254821416E+001
     168    3.1407187987E+001    5.3217348041E+001   -4.6085003063E+001
     169    4.1041823815E+001    4.6514662381E+001   -3.4684923574E+001
     170    5.9149044575E+001    8.3607288906E+000   -4.1754324921E+001
     171    6.1740744262E+001    4.3430527643E+000   -4.9145475185E+001
     172    7.6926660850E+001   -5.2252230469E+000   -3.7340582317E+001
     173    7.6844726712E+001   -5.9144936627E+000   -3.1804674995E+001
     174    7.7190555768E+001   -1.0062291523E+001   -3.5879037798E+001
     175    7.8073365248E+001   -1.7299148313E+001   -4.2729551629E+001
     176    7.7260689044E+001   -1.8358038424E+001   -4.7314624516E+001
     177    7.3072199513E+001   -7.7540788765E+000   -4.3557703248E+001
     178    7.2168975316E+001    1.8740047180E+000   -4.0192932213E+001
     179    7.0255559418E+001   -1.6662062712E+000   -4.0510151890E+001
     180    7.1551544724E+001   -1.4164335605E+001   -5.1388277223E+001
     181    7.2395946026E+001   -1.5014189268E+001   -4.7480645044E+001
     182    6.2101294323E+001   -2.0563923679E+000   -5.2580902171E+001
     183    6.4619885741E+001   -1.3554316687E+000   -4.5698116282E+001
     184    6.5738041524E+001   -9.6292752948E+000   -4.9261185962E+001
     185    6.4204652979E+001   -9.3010988118E+000   -5.4758819367E+001
     186    6.3876295662E+001   -6.0714836641E+000   -5.7500000000E+001
     187    7.3350556374E+001   -1.4700314608E+001   -3.8141927912E+001
     188    7.8093135857E+001   -1.4936295495E+001   -3.4750769926E+001
     189    7.8019611198E+001   -2.2659721543E+001   -4.8500439468E+001
     190    7.8455402834E+001   -2.1568898391E+001   -4.3842312759E+001
     191    7.8211870559E+001   -1.8917304301E+001   -4.0517368352E+001
