
* Step -1
RZ           1   7529 
    1801   4.6995308200E+01   1.6599501500E+01   -2.8829816300E+01
    1802   4.3912435811E+01   2.2338463724E+01   -2.9633189902E+01
    1803   5.3053414700E+01   3.0457812600E+01   -9.0311576000E+00
    1804   5.5885236800E+01   2.5896265100E+01   -5.9534874000E+00
    1805   5.1434421800E+01   2.8747828003E+01   -1.5741135735E+01
    1806   5.5626265300E+01   2.5379002900E+01   -1.3010978100E+01
    1807   5.7204495400E+01   2.0503925000E+01   -1.0300366000E+01
    1808   -7.2597327000E+00   6.4305063900E+01   -4.8077999115E+01
    1809   -6.3260294000E+00   6.3488584100E+01   -4.5625954100E+01
    1810   -6.0865620000E+00   6.2499746400E+01   -4.2862062400E+01
    1811   5.7201280500E+01   1.8276899800E+01   -5.0209883000E+00
    1812   5.7897554800E+01   1.3399832100E+01   -4.6160649000E+00
    1813   6.0969148200E+01   9.0604112000E+00   -6.9999998808E-01
    1814   5.9038237829E+01   8.5204571650E+00   -4.3210531448E+00
    1815   5.9320278600E+01   1.0033928706E+01   -9.6907525169E+00
    1816   5.7382531900E+01   1.5655502700E+01   -1.2955700100E+01
    1817   5.8021759800E+01   1.0556935529E+01   -1.5668747715E+01
    1818   5.1288925963E+01   1.0095881965E+01   -2.5998487794E+01
    1819   4.4080016000E+01   3.1930201600E+01   -1.5743282399E+01
    1820   4.8326878100E+01   3.0871021600E+01   -1.1594847500E+01
    1821   4.4845186100E+01   3.5053079400E+01   -1.1187818400E+01
    1822   5.3664267500E+01   2.4224420900E+01   -1.5762394000E+00
    1823   5.0299744200E+01   2.5864193700E+01   2.3031660000E+00
    1824   4.7313762100E+01   3.1454171100E+01   -3.4587798000E+00
    1825   5.4453711200E+01   2.0309117800E+01   -1.0017974000E+00
    1826   4.7174992600E+01   2.9739431500E+01   5.4343460000E+00
    1827   5.2420738900E+01   2.0048752800E+01   2.9339427000E+00
    1828   5.3963531600E+01   1.7200992600E+01   6.3015423000E+00
    1829   4.9140000300E+01   2.2883330800E+01   5.6261582000E+00
    1830   5.0640474500E+01   1.8657045200E+01   8.5995745000E+00
    1831   3.9907278700E+01   3.9713935700E+01   -1.0950862200E+01
    1832   4.1245657598E+01   3.5690064999E+01   -1.5836377774E+01
    1833   4.8845733600E+01   1.2756154900E+01   -2.6281857700E+01
    1834   4.9564687300E+01   1.7298919600E+01   -2.4908067300E+01
    1835   5.1181673400E+01   1.4613000300E+01   -2.1096139900E+01
    1836   5.3124744736E+01   1.0539370942E+01   -1.8989799572E+01
    1837   3.7674004200E+01   4.4797853900E+01   3.6073680000E-01
    1838   3.9957562100E+01   4.1711636600E+01   5.3633490000E-01
    1839   3.9130396600E+01   3.9014970300E+01   5.3466917000E+00
    1840   3.7038605100E+01   3.6781852500E+01   8.9081279000E+00
    1841   3.6707837000E+01   3.9720651100E+01   4.8289630000E+00
    1842   2.5649445593E+01   1.2916711478E+01   -4.0963121102E+01
    1843   3.6486939689E+01   4.6934401807E+01   -3.7110320499E+01
    1844   3.2819697600E+01   4.6909089700E+01   -3.9149533500E+01
    1845   2.8533149609E+01   4.7956332074E+01   -4.2445646565E+01
    1846   3.4111275265E+01   4.1006287043E+01   -3.7145402164E+01
    1847   3.0139564300E+01   4.1980471000E+01   -4.0139892500E+01
    1848   3.3772961317E+01   3.6057935601E+01   -3.7156781101E+01
    1849   5.4392778805E+01   2.4757197585E+01   -1.7396229780E+01
    1850   3.2570610102E+01   4.3153052000E+00   -3.4559778600E+01
    1851   3.6344651800E+01   2.8051890000E-01   -3.3258154900E+01
    1852   3.9133709500E+01   -2.7384510040E+00   -2.9194096700E+01
    1853   3.7506651600E+01   -2.7384510040E+00   -3.2341741100E+01
    1854   -1.6079176997E+01   7.2602775900E+01   -4.1680370700E+01
    1855   -1.0753215800E+01   6.9349154300E+01   -4.4829347400E+01
    1856   -7.8053950000E+00   6.7316625400E+01   -4.4118396600E+01
    1857   -9.3362236000E+00   6.7927746700E+01   -4.8077999115E+01
    1858   3.5553561980E+01   4.4358317709E+01   -2.9992036599E+01
    1859   3.2675752500E+01   4.9045959700E+01   -3.3499699900E+01
    1860   3.2352943599E+01   5.4646720737E+01   -2.5640086615E+01
    1861   2.3968176600E+01   6.7623620429E+01   -1.0597620803E+01
    1862   2.5070737000E+01   6.7181289162E+01   -1.5653482683E+01
    1863   5.2834911000E+00   5.1965561500E+01   -5.2700000763E+01
    1864   6.8120220000E+00   5.7422699200E+01   -4.4854989000E+01
    1865   1.1979140300E+01   5.4318172400E+01   -4.4883284300E+01
    1866   1.2828130500E+01   6.0167639500E+01   -4.1383480700E+01
    1867   1.8970184589E+01   5.7985622000E+01   -4.5566510350E+01
    1868   1.7331655800E+01   5.9022270800E+01   -4.2543667300E+01
    1869   2.3498050306E+01   5.7418208715E+01   -4.3326852454E+01
    1870   1.9879264800E+01   6.1171546600E+01   -3.9722635600E+01
    1871   -6.4555220000E-01   5.5086952200E+01   -4.6182437400E+01
    1872   1.2214758900E+01   6.5165336065E+01   -3.8695899297E+01
    1873   7.3756071627E+00   6.2487864181E+01   -4.0423865971E+01
    1874   5.3312736400E+01   2.0210889500E+01   -1.6389887000E+01
