# 1 (TIME - s);1 (Effective plastic strain - -);# 2 (TIME - s);2 (Effective plastic strain - -);# 3 (TIME - s);3 (Effective plastic strain - -);# 4 (TIME - s);4 (Effective plastic strain - -);# 5 (TIME - s);5 (Effective plastic strain - -);# 6 (TIME - s);6 (Effective plastic strain - -);# 7 (TIME - s);7 (Effective plastic strain - -);# 8 (TIME - s);8 (Effective plastic strain - -);# 9 (TIME - s);9 (Effective plastic strain - -);# 10 (TIME - s);10 (Effective plastic strain - -);# 11 (TIME - s);11 (Effective plastic strain - -);# 12 (TIME - s);12 (Effective plastic strain - -)
0.00853043647;3.12134052;0.00853043647;3.41306478;0.00853043647;3.20703029;0.00853043647;3.11205932;0.00853043647;4.49159966;0.00853043647;3.16154398;0.00853043647;3.18177491;0.00853043647;2.55309959;0.00853043647;2.75138063;0.00853043647;1.84156161;0.00853043647;1.19078275;0.00853043647;1.06195442
0.0088694025;3.121714;0.0088694025;3.4134677;0.0088694025;3.20756738;0.0088694025;3.11256102;0.0088694025;4.49312661;0.0088694025;3.16285406;0.0088694025;3.18340894;0.0088694025;2.55496227;0.0088694025;2.75139578;0.0088694025;1.84156045;0.0088694025;1.19108375;0.0088694025;1.0620901
0.00915187684;3.12203276;0.00915187684;3.41381537;0.00915187684;3.20804291;0.00915187684;3.1130074;0.00915187684;4.49461593;0.00915187684;3.16396658;0.00915187684;3.18474037;0.00915187684;2.55634179;0.00915187684;2.75144878;0.00915187684;1.84156409;0.00915187684;1.19151647;0.00915187684;1.06234666
0.00949084954;3.12240064;0.00949084954;3.4142185;0.00949084954;3.20859608;0.00949084954;3.11353315;0.00949084954;4.496945;0.00949084954;3.1654147;0.00949084954;3.18651164;0.00949084954;2.55778534;0.00949084954;2.75158626;0.00949084954;1.84159145;0.00949084954;1.1921572;0.00949084954;1.06285375
0.00977333011;3.12271357;0.00977333011;3.4145575;0.00977333011;3.20907122;0.00977333011;3.11398628;0.00977333011;4.49958683;0.00977333011;3.16668225;0.00977333011;3.18792123;0.00977333011;2.55897539;0.00977333011;2.75172221;0.00977333011;1.84164358;0.00977333011;1.19273055;0.00977333011;1.06333939
0.0101123113;3.12300179;0.0101123113;3.41487599;0.0101123113;3.20959189;0.0101123113;3.11448888;0.0101123113;4.5028905;0.0101123113;3.16835841;0.0101123113;3.18969422;0.0101123113;2.56041297;0.0101123113;2.75190676;0.0101123113;1.8417388;0.0101123113;1.19343611;0.0101123113;1.06393591
0.0103947998;3.12318827;0.0103947998;3.41508584;0.0103947998;3.21001954;0.0103947998;3.11490503;0.0103947998;4.50603412;0.0103947998;3.16963194;0.0103947998;3.19105116;0.0103947998;2.56157874;0.0103947998;2.75211381;0.0103947998;1.84186924;0.0103947998;1.19428908;0.0103947998;1.0646622
0.0107337912;3.12338927;0.0107337912;3.41531071;0.0107337912;3.21049234;0.0107337912;3.11535752;0.0107337912;4.51106386;0.0107337912;3.17143384;0.0107337912;3.19297225;0.0107337912;2.562965;0.0107337912;2.75236964;0.0107337912;1.8420596;0.0107337912;1.19513649;0.0107337912;1.06539764
0.0110727893;3.12366625;0.0110727893;3.41563356;0.0110727893;3.21089319;0.0110727893;3.11573438;0.0110727893;4.51658058;0.0110727893;3.17495636;0.0110727893;3.19616129;0.0110727893;2.56460712;0.0110727893;2.75248575;0.0110727893;1.84213404;0.0110727893;1.19541706;0.0110727893;1.06565672
0.0113552941;3.12391091;0.0113552941;3.41593069;0.0113552941;3.21126945;0.0113552941;3.11608193;0.0113552941;4.51971882;0.0113552941;3.17849577;0.0113552941;3.19899143;0.0113552941;2.56639474;0.0113552941;2.75252421;0.0113552941;1.84215294;0.0113552941;1.19563493;0.0113552941;1.06584511
0.0116943141;3.1776892;0.0116943141;3.45409408;0.0116943141;3.22439728;0.0116943141;3.12156192;0.0116943141;4.52528816;0.0116943141;3.14134474;0.0116943141;3.24212273;0.0116943141;2.56630818;0.0116943141;2.76815334;0.0116943141;1.85513717;0.0116943141;1.19380276;0.0116943141;1.05970526
0.0119768486;3.17259914;0.0119768486;3.45271275;0.0119768486;3.23422514;0.0119768486;3.12729317;0.0119768486;4.55587507;0.0119768486;3.14978447;0.0119768486;3.24432523;0.0119768486;2.58411765;0.0119768486;2.77825018;0.0119768486;1.84877648;0.0119768486;1.19983408;0.0119768486;1.06143117
0.0123159147;3.17763324;0.0123159147;3.47994117;0.0123159147;3.22733622;0.0123159147;3.13468312;0.0123159147;4.49787124;0.0123159147;3.16818225;0.0123159147;3.23699859;0.0123159147;2.59633114;0.0123159147;2.82701783;0.0123159147;1.84877271;0.0123159147;1.18882089;0.0123159147;1.06199949
0.0125984957;3.18070752;0.0125984957;3.47582737;0.0125984957;3.24778725;0.0125984957;3.14603387;0.0125984957;4.55902601;0.0125984957;3.17888406;0.0125984957;3.23010872;0.0125984957;2.60679182;0.0125984957;2.8398605;0.0125984957;1.8620897;0.0125984957;1.20609652;0.0125984957;1.10755743
0.0129378465;3.34837956;0.0129378465;3.59160183;0.0129378465;3.35824208;0.0129378465;3.36293186;0.0129378465;4.63140535;0.0129378465;3.2970132;0.0129378465;3.26350426;0.0129378465;2.69595805;0.0129378465;2.92746191;0.0129378465;2.03878935;0.0129378465;1.31935969;0.0129378465;1.28615875
0.112937846;3.35069907;0.112937846;3.59485542;0.112937846;3.36310294;0.112937846;3.37254506;0.112937846;4.6337012;0.112937846;3.2993881;0.112937846;3.26654407;0.112937846;2.69939397;0.112937846;2.9343553;0.112937846;2.04469417;0.112937846;1.32412999;0.112937846;1.29118669
5.11293785;3.35011489;5.11293785;3.59178402;5.11293785;3.36376717;5.11293785;3.36429836;5.11293785;4.61885581;5.11293785;3.30138344;5.11293785;3.26301565;5.11293785;2.70969671;5.11293785;2.94030034;5.11293785;2.04720619;5.11293785;1.31952984;5.11293785;1.29057056
5.21293785;3.35011489;5.21293785;3.59178402;5.21293785;3.36376717;5.21293785;3.36429836;5.21293785;4.61892708;5.21293785;3.30138299;5.21293785;3.2630347;5.21293785;2.70969654;5.21293785;2.94030029;5.21293785;2.04720615;5.21293785;1.31953148;5.21293785;1.29057076
